ano,mes,mes_nome
2008,11,Novembro
2008,4,Abril
2008,5,Maio
2008,6,Junho
2008,8,Agosto
2008,10,Outubro
2008,7,Julho
2008,1,Janeiro
2008,6,Junho
2008,10,Outubro
2008,6,Junho
2008,10,Outubro
2008,2,Fevereiro
2008,5,Maio
2008,8,Agosto
2008,10,Outubro
2008,2,Fevereiro
2008,10,Outubro
2008,7,Julho
2008,12,Dezembro
2008,2,Fevereiro
2008,2,Fevereiro
2008,5,Maio
2008,1,Janeiro
2008,1,Janeiro
2008,1,Janeiro
2008,1,Janeiro
2008,1,Janeiro
2008,1,Janeiro
2008,1,Janeiro
2008,1,Janeiro
2008,7,Julho
2008,9,Setembro
2008,12,Dezembro
2008,4,Abril
2008,8,Agosto
2008,11,Novembro
2008,6,Junho
2008,9,Setembro
2008,5,Maio
2008,9,Setembro
2008,6,Junho
2008,3,Março
2008,8,Agosto
2008,1,Janeiro
2008,4,Abril
2008,5,Maio
2008,7,Julho
2008,5,Maio
2008,9,Setembro
2008,5,Maio
2008,12,Dezembro
2008,1,Janeiro
2008,4,Abril
2008,7,Julho
2008,10,Outubro
2008,12,Dezembro
2008,1,Janeiro
2008,1,Janeiro
2008,1,Janeiro
2008,1,Janeiro
2008,1,Janeiro
2008,1,Janeiro
2008,5,Maio
2008,12,Dezembro
2008,4,Abril
2008,9,Setembro
2008,12,Dezembro
2008,8,Agosto
2008,2,Fevereiro
2008,4,Abril
2008,5,Maio
2008,11,Novembro
2008,1,Janeiro
2008,4,Abril
2008,7,Julho
2008,8,Agosto
2008,5,Maio
2008,6,Junho
2008,10,Outubro
2008,12,Dezembro
2008,3,Março
2008,10,Outubro
2008,11,Novembro
2008,2,Fevereiro
2008,5,Maio
2008,1,Janeiro
2008,2,Fevereiro
2008,3,Março
2008,12,Dezembro
2008,1,Janeiro
2008,12,Dezembro
2008,1,Janeiro
2008,1,Janeiro
2008,1,Janeiro
2008,11,Novembro
2008,3,Março
2008,4,Abril
2008,1,Janeiro
2008,7,Julho
2008,11,Novembro
2008,9,Setembro
2008,10,Outubro
2008,7,Julho
2008,1,Janeiro
2008,8,Agosto
2008,11,Novembro
2008,9,Setembro
2008,8,Agosto
2008,2,Fevereiro
2008,4,Abril
2008,9,Setembro
2008,10,Outubro
2008,11,Novembro
2008,2,Fevereiro
2008,7,Julho
2008,7,Julho
2008,8,Agosto
2008,4,Abril
2008,5,Maio
2008,9,Setembro
2008,10,Outubro
2008,7,Julho
2008,9,Setembro
2008,2,Fevereiro
2008,11,Novembro
2008,2,Fevereiro
2008,6,Junho
2008,12,Dezembro
2008,4,Abril
2008,12,Dezembro
2008,4,Abril
2008,10,Outubro
2008,8,Agosto
2008,1,Janeiro
2008,5,Maio
2008,6,Junho
2008,12,Dezembro
2008,2,Fevereiro
2008,6,Junho
2008,12,Dezembro
2008,11,Novembro
2008,8,Agosto
2008,3,Março
2008,4,Abril
2008,5,Maio
2008,7,Julho
2008,12,Dezembro
2008,3,Março
2008,7,Julho
2008,9,Setembro
2008,3,Março
2008,11,Novembro
2008,3,Março
2008,2,Fevereiro
2008,9,Setembro
2008,2,Fevereiro
2008,3,Março
2008,7,Julho
2008,8,Agosto
2008,9,Setembro
2008,6,Junho
2008,7,Julho
2008,1,Janeiro
2008,3,Março
2008,4,Abril
2008,8,Agosto
2008,5,Maio
2008,2,Fevereiro
2008,3,Março
2008,4,Abril
2008,5,Maio
2008,6,Junho
2008,8,Agosto
2008,12,Dezembro
2008,4,Abril
2008,6,Junho
2008,4,Abril
2008,11,Novembro
2008,4,Abril
2008,7,Julho
2008,12,Dezembro
2008,1,Janeiro
2008,12,Dezembro
2008,4,Abril
2008,6,Junho
2008,2,Fevereiro
2008,6,Junho
2008,11,Novembro
2008,12,Dezembro
2008,11,Novembro
2008,2,Fevereiro
2008,8,Agosto
2008,10,Outubro
2008,3,Março
2008,5,Maio
2008,6,Junho
2008,4,Abril
2008,12,Dezembro
2008,6,Junho
2008,7,Julho
2008,11,Novembro
2008,1,Janeiro
2008,4,Abril
2008,1,Janeiro
2008,4,Abril
2008,5,Maio
2008,7,Julho
2008,10,Outubro
2008,1,Janeiro
2008,4,Abril
2008,1,Janeiro
2008,3,Março
2008,7,Julho
2008,11,Novembro
2008,5,Maio
2008,4,Abril
2008,6,Junho
2008,7,Julho
2008,10,Outubro
2008,11,Novembro
2008,4,Abril
2008,8,Agosto
2008,12,Dezembro
2008,5,Maio
2008,1,Janeiro
2008,5,Maio
2008,6,Junho
2008,11,Novembro
2008,6,Junho
2008,9,Setembro
2008,9,Setembro
2008,1,Janeiro
2008,5,Maio
2008,9,Setembro
2008,3,Março
2008,9,Setembro
2008,6,Junho
2008,5,Maio
2008,11,Novembro
2008,9,Setembro
2008,12,Dezembro
2008,4,Abril
2008,10,Outubro
2008,11,Novembro
2008,8,Agosto
2008,10,Outubro
2008,11,Novembro
2008,10,Outubro
2008,11,Novembro
2008,12,Dezembro
2008,1,Janeiro
2008,8,Agosto
2008,1,Janeiro
2008,6,Junho
2008,6,Junho
2008,12,Dezembro
2008,3,Março
2008,2,Fevereiro
2008,3,Março
2008,6,Junho
2008,7,Julho
2008,9,Setembro
2008,3,Março
2008,5,Maio
2008,7,Julho
2008,1,Janeiro
2008,1,Janeiro
2008,9,Setembro
2008,11,Novembro
2008,2,Fevereiro
2008,6,Junho
2008,12,Dezembro
2008,2,Fevereiro
2008,12,Dezembro
2008,1,Janeiro
2008,2,Fevereiro
2008,3,Março
2008,10,Outubro
2008,5,Maio
2008,6,Junho
2008,7,Julho
2008,6,Junho
2008,3,Março
2008,1,Janeiro
2008,1,Janeiro
2008,3,Março
2008,4,Abril
2008,7,Julho
2008,12,Dezembro
2008,8,Agosto
2008,7,Julho
2008,12,Dezembro
2008,4,Abril
2008,9,Setembro
2008,4,Abril
2008,9,Setembro
2008,2,Fevereiro
2008,10,Outubro
2008,7,Julho
2008,8,Agosto
2008,12,Dezembro
2008,3,Março
2008,4,Abril
2008,5,Maio
2008,8,Agosto
2008,2,Fevereiro
2008,5,Maio
2008,8,Agosto
2008,1,Janeiro
2008,8,Agosto
2008,12,Dezembro
2008,1,Janeiro
2008,2,Fevereiro
2008,11,Novembro
2008,10,Outubro
2008,1,Janeiro
2008,2,Fevereiro
2008,4,Abril
2008,9,Setembro
2008,7,Julho
2008,2,Fevereiro
2008,5,Maio
2008,6,Junho
2008,8,Agosto
2008,10,Outubro
2008,11,Novembro
2008,11,Novembro
2008,3,Março
2008,7,Julho
2008,11,Novembro
2008,1,Janeiro
2008,6,Junho
2008,8,Agosto
2008,10,Outubro
2008,9,Setembro
2008,12,Dezembro
2008,5,Maio
2008,2,Fevereiro
2008,10,Outubro
2008,11,Novembro
2008,9,Setembro
2008,2,Fevereiro
2008,5,Maio
2008,10,Outubro
2008,6,Junho
2008,11,Novembro
2008,1,Janeiro
2008,6,Junho
2008,1,Janeiro
2008,4,Abril
2008,1,Janeiro
2008,2,Fevereiro
2008,5,Maio
2008,2,Fevereiro
2008,5,Maio
2008,10,Outubro
2008,2,Fevereiro
2008,8,Agosto
2008,12,Dezembro
2008,5,Maio
2008,1,Janeiro
2008,2,Fevereiro
2008,10,Outubro
2008,10,Outubro
2008,2,Fevereiro
2008,7,Julho
2008,10,Outubro
2008,6,Junho
2008,11,Novembro
2008,2,Fevereiro
2008,8,Agosto
2008,9,Setembro
2008,12,Dezembro
2008,7,Julho
2008,12,Dezembro
2008,7,Julho
2008,8,Agosto
2008,8,Agosto
2008,9,Setembro
2008,11,Novembro
2008,3,Março
2008,9,Setembro
2008,10,Outubro
2008,12,Dezembro
2008,6,Junho
2008,9,Setembro
2008,1,Janeiro
2008,4,Abril
2008,6,Junho
2008,8,Agosto
2008,10,Outubro
2008,3,Março
2008,12,Dezembro
2008,2,Fevereiro
2008,5,Maio
2008,6,Junho
2008,12,Dezembro
2008,1,Janeiro
2008,7,Julho
2008,8,Agosto
2008,1,Janeiro
2008,3,Março
2008,6,Junho
2008,7,Julho
2008,11,Novembro
2008,11,Novembro
2008,5,Maio
2008,2,Fevereiro
2008,4,Abril
2008,8,Agosto
2008,12,Dezembro
2008,3,Março
2008,5,Maio
2008,7,Julho
2008,3,Março
2008,10,Outubro
2008,11,Novembro
2008,9,Setembro
2008,11,Novembro
2008,4,Abril
2008,11,Novembro
2008,4,Abril
2008,7,Julho
2008,5,Maio
2008,3,Março
2008,5,Maio
2008,9,Setembro
2008,4,Abril
2008,5,Maio
2008,9,Setembro
2008,10,Outubro
2008,12,Dezembro
2008,1,Janeiro
2008,3,Março
2008,7,Julho
2008,9,Setembro
2008,3,Março
2008,8,Agosto
2008,10,Outubro
2008,1,Janeiro
2008,7,Julho
2008,3,Março
2008,4,Abril
2008,8,Agosto
2008,5,Maio
2008,7,Julho
2008,3,Março
2008,6,Junho
2008,1,Janeiro
2008,7,Julho
2008,9,Setembro
2008,10,Outubro
2008,11,Novembro
2008,6,Junho
2008,4,Abril
2008,5,Maio
2008,7,Julho
2008,11,Novembro
2008,1,Janeiro
2008,3,Março
2008,6,Junho
2008,8,Agosto
2008,9,Setembro
2008,10,Outubro
2008,3,Março
2008,10,Outubro
2008,12,Dezembro
2008,8,Agosto
2008,7,Julho
2008,10,Outubro
2008,12,Dezembro
2008,3,Março
2008,4,Abril
2008,7,Julho
2008,4,Abril
2008,11,Novembro
2008,4,Abril
2008,8,Agosto
2008,9,Setembro
2008,3,Março
2008,5,Maio
2008,8,Agosto
2008,2,Fevereiro
2008,3,Março
2008,4,Abril
2008,9,Setembro
2008,11,Novembro
2008,1,Janeiro
2008,1,Janeiro
2008,4,Abril
2008,1,Janeiro
2008,3,Março
2008,6,Junho
2008,7,Julho
2008,1,Janeiro
2008,7,Julho
2008,8,Agosto
2008,6,Junho
2008,9,Setembro
2008,1,Janeiro
2008,7,Julho
2008,10,Outubro
2008,4,Abril
2008,5,Maio
2008,7,Julho
2008,9,Setembro
2008,3,Março
2008,5,Maio
2008,6,Junho
2008,9,Setembro
2008,3,Março
2008,5,Maio
2008,7,Julho
2008,11,Novembro
2008,2,Fevereiro
2008,6,Junho
2008,2,Fevereiro
2008,5,Maio
2008,7,Julho
2008,12,Dezembro
2008,10,Outubro
2008,3,Março
2008,6,Junho
2008,3,Março
2008,4,Abril
2008,5,Maio
2008,7,Julho
2008,12,Dezembro
2008,5,Maio
2008,5,Maio
2008,6,Junho
2008,7,Julho
2008,1,Janeiro
2008,5,Maio
2008,6,Junho
2008,8,Agosto
2008,1,Janeiro
2008,4,Abril
2008,6,Junho
2008,7,Julho
2008,8,Agosto
2008,11,Novembro
2008,9,Setembro
2008,10,Outubro
2008,3,Março
2008,4,Abril
2008,9,Setembro
2008,10,Outubro
2008,12,Dezembro
2008,12,Dezembro
2008,2,Fevereiro
2008,4,Abril
2008,5,Maio
2008,7,Julho
2008,11,Novembro
2008,12,Dezembro
2008,12,Dezembro
2008,4,Abril
2008,6,Junho
2008,7,Julho
2008,11,Novembro
2008,5,Maio
2008,7,Julho
2008,10,Outubro
2008,1,Janeiro
2008,11,Novembro
2008,5,Maio
2008,8,Agosto
2008,10,Outubro
2008,11,Novembro
2008,1,Janeiro
2008,8,Agosto
2008,9,Setembro
2008,10,Outubro
2008,1,Janeiro
2008,3,Março
2008,5,Maio
2008,10,Outubro
2008,11,Novembro
2008,3,Março
2008,6,Junho
2008,12,Dezembro
2008,3,Março
2008,4,Abril
2008,2,Fevereiro
2008,3,Março
2008,5,Maio
2008,8,Agosto
2008,8,Agosto
2008,7,Julho
2008,10,Outubro
2008,6,Junho
2008,7,Julho
2008,4,Abril
2008,6,Junho
2008,7,Julho
2008,9,Setembro
2008,12,Dezembro
2008,3,Março
2008,1,Janeiro
2008,5,Maio
2008,7,Julho
2008,9,Setembro
2008,12,Dezembro
2008,7,Julho
2008,8,Agosto
2008,11,Novembro
2008,1,Janeiro
2008,9,Setembro
2008,1,Janeiro
2008,6,Junho
2008,7,Julho
2008,9,Setembro
2008,6,Junho
2008,1,Janeiro
2008,2,Fevereiro
2008,10,Outubro
2008,12,Dezembro
2008,6,Junho
2008,10,Outubro
2008,12,Dezembro
2008,1,Janeiro
2008,11,Novembro
2008,5,Maio
2008,8,Agosto
2008,9,Setembro
2008,6,Junho
2008,9,Setembro
2008,12,Dezembro
2008,6,Junho
2008,9,Setembro
2008,4,Abril
2008,5,Maio
2008,5,Maio
2008,4,Abril
2008,7,Julho
2008,3,Março
2008,4,Abril
2008,7,Julho
2008,8,Agosto
2008,11,Novembro
2008,8,Agosto
2008,8,Agosto
2008,10,Outubro
2008,4,Abril
2008,9,Setembro
2008,7,Julho
2008,1,Janeiro
2008,7,Julho
2008,8,Agosto
2008,10,Outubro
2008,1,Janeiro
2008,2,Fevereiro
2008,11,Novembro
2008,1,Janeiro
2008,3,Março
2008,6,Junho
2008,9,Setembro
2008,4,Abril
2008,7,Julho
2008,10,Outubro
2008,2,Fevereiro
2008,2,Fevereiro
2008,2,Fevereiro
2008,7,Julho
2008,5,Maio
2008,9,Setembro
2008,11,Novembro
2008,2,Fevereiro
2008,3,Março
2008,6,Junho
2008,7,Julho
2008,9,Setembro
2008,10,Outubro
2008,10,Outubro
2008,7,Julho
2008,8,Agosto
2008,10,Outubro
2008,3,Março
2008,10,Outubro
2008,11,Novembro
2008,10,Outubro
2008,12,Dezembro
2008,2,Fevereiro
2008,3,Março
2008,8,Agosto
2008,11,Novembro
2008,6,Junho
2008,4,Abril
2008,5,Maio
2008,9,Setembro
2008,11,Novembro
2008,6,Junho
2008,9,Setembro
2008,12,Dezembro
2008,12,Dezembro
2008,8,Agosto
2008,10,Outubro
2008,10,Outubro
2008,2,Fevereiro
2008,6,Junho
2008,8,Agosto
2008,11,Novembro
2008,6,Junho
2008,4,Abril
2008,7,Julho
2008,8,Agosto
2008,11,Novembro
2008,3,Março
2008,8,Agosto
2008,3,Março
2008,8,Agosto
2008,1,Janeiro
2008,7,Julho
2008,3,Março
2008,8,Agosto
2008,2,Fevereiro
2008,8,Agosto
2008,10,Outubro
2008,8,Agosto
2008,11,Novembro
2008,2,Fevereiro
2008,1,Janeiro
2008,6,Junho
2008,9,Setembro
2008,11,Novembro
2008,1,Janeiro
2008,9,Setembro
2008,12,Dezembro
2008,9,Setembro
2008,2,Fevereiro
2008,3,Março
2008,6,Junho
2008,12,Dezembro
2008,2,Fevereiro
2008,10,Outubro
2008,6,Junho
2008,8,Agosto
2008,2,Fevereiro
2008,7,Julho
2008,2,Fevereiro
2008,9,Setembro
2008,1,Janeiro
2008,8,Agosto
2008,11,Novembro
2008,6,Junho
2008,10,Outubro
2008,12,Dezembro
2008,1,Janeiro
2008,3,Março
2008,9,Setembro
2008,1,Janeiro
2008,4,Abril
2008,7,Julho
2008,9,Setembro
2008,4,Abril
2008,5,Maio
2008,9,Setembro
2008,5,Maio
2008,4,Abril
2008,7,Julho
2008,9,Setembro
2008,5,Maio
2008,1,Janeiro
2008,3,Março
2008,5,Maio
2008,3,Março
2008,9,Setembro
2008,3,Março
2008,9,Setembro
2008,1,Janeiro
2008,5,Maio
2008,10,Outubro
2008,4,Abril
2008,12,Dezembro
2008,11,Novembro
2008,1,Janeiro
2008,2,Fevereiro
2008,6,Junho
2008,8,Agosto
2008,10,Outubro
2008,6,Junho
2008,3,Março
2008,8,Agosto
2008,10,Outubro
2008,12,Dezembro
2008,3,Março
2008,6,Junho
2008,9,Setembro
2008,1,Janeiro
2008,10,Outubro
2008,11,Novembro
2008,9,Setembro
2008,10,Outubro
2008,12,Dezembro
2008,11,Novembro
2008,12,Dezembro
2008,3,Março
2008,11,Novembro
2008,1,Janeiro
2008,3,Março
2008,4,Abril
2008,5,Maio
2008,8,Agosto
2008,3,Março
2008,8,Agosto
2008,4,Abril
2008,10,Outubro
2008,1,Janeiro
2008,12,Dezembro
2008,11,Novembro
2008,2,Fevereiro
2008,6,Junho
2008,1,Janeiro
2008,2,Fevereiro
2008,9,Setembro
2008,10,Outubro
2008,12,Dezembro
2008,2,Fevereiro
2008,3,Março
2008,5,Maio
2008,2,Fevereiro
2008,6,Junho
2008,9,Setembro
2008,12,Dezembro
2008,1,Janeiro
2008,2,Fevereiro
2008,4,Abril
2008,10,Outubro
2008,12,Dezembro
2008,5,Maio
2008,10,Outubro
2008,11,Novembro
2008,3,Março
2008,6,Junho
2008,8,Agosto
2008,10,Outubro
2008,2,Fevereiro
2008,2,Fevereiro
2008,5,Maio
2008,2,Fevereiro
2008,6,Junho
2008,11,Novembro
2008,12,Dezembro
2008,2,Fevereiro
2008,1,Janeiro
2008,2,Fevereiro
2008,12,Dezembro
2008,11,Novembro
2008,2,Fevereiro
2008,4,Abril
2008,5,Maio
2008,12,Dezembro
2008,12,Dezembro
2008,5,Maio
2008,8,Agosto
2008,4,Abril
2008,9,Setembro
2008,10,Outubro
2008,8,Agosto
2008,11,Novembro
2008,4,Abril
2008,6,Junho
2008,7,Julho
2008,9,Setembro
2008,11,Novembro
2008,1,Janeiro
2008,5,Maio
2008,10,Outubro
2008,10,Outubro
2008,9,Setembro
2008,10,Outubro
2008,11,Novembro
2008,12,Dezembro
2008,6,Junho
2008,11,Novembro
2008,11,Novembro
2008,1,Janeiro
2008,1,Janeiro
2008,6,Junho
2008,9,Setembro
2008,1,Janeiro
2008,8,Agosto
2008,9,Setembro
2008,10,Outubro
2008,3,Março
2008,4,Abril
2008,1,Janeiro
2008,9,Setembro
2008,12,Dezembro
2008,2,Fevereiro
2008,2,Fevereiro
2008,4,Abril
2008,3,Março
2008,4,Abril
2008,10,Outubro
2008,8,Agosto
2008,1,Janeiro
2008,4,Abril
2008,5,Maio
2008,12,Dezembro
2008,3,Março
2008,8,Agosto
2008,2,Fevereiro
2008,5,Maio
2008,7,Julho
2008,12,Dezembro
2008,2,Fevereiro
2008,9,Setembro
2008,10,Outubro
2008,11,Novembro
2008,10,Outubro
2008,12,Dezembro
2008,3,Março
2008,12,Dezembro
2008,8,Agosto
2008,8,Agosto
2008,3,Março
2008,12,Dezembro
2008,6,Junho
2008,6,Junho
2008,8,Agosto
2008,11,Novembro
2008,1,Janeiro
2008,2,Fevereiro
2008,11,Novembro
2008,12,Dezembro
2008,1,Janeiro
2008,4,Abril
2008,8,Agosto
2008,11,Novembro
2008,11,Novembro
2008,3,Março
2008,4,Abril
2008,11,Novembro
2008,1,Janeiro
2008,6,Junho
2008,4,Abril
2008,7,Julho
2008,5,Maio
2008,10,Outubro
2008,3,Março
2008,8,Agosto
2008,9,Setembro
2008,1,Janeiro
2008,5,Maio
2008,8,Agosto
2008,10,Outubro
2008,4,Abril
2008,10,Outubro
2008,7,Julho
2008,1,Janeiro
2008,5,Maio
2008,6,Junho
2008,9,Setembro
2008,3,Março
2008,5,Maio
2008,10,Outubro
2008,4,Abril
2008,7,Julho
2008,1,Janeiro
2008,2,Fevereiro
2008,12,Dezembro
2008,2,Fevereiro
2008,4,Abril
2008,7,Julho
2008,11,Novembro
2008,12,Dezembro
2008,12,Dezembro
2008,5,Maio
2008,3,Março
2008,5,Maio
2008,10,Outubro
2008,10,Outubro
2008,11,Novembro
2008,3,Março
2008,10,Outubro
2008,4,Abril
2008,7,Julho
2008,7,Julho
2008,2,Fevereiro
2008,6,Junho
2008,9,Setembro
2008,7,Julho
2008,11,Novembro
2008,12,Dezembro
2008,8,Agosto
2008,2,Fevereiro
2008,3,Março
2008,11,Novembro
2008,12,Dezembro
2008,6,Junho
2008,9,Setembro
2008,8,Agosto
2008,8,Agosto
2008,7,Julho
2008,7,Julho
2008,8,Agosto
2008,9,Setembro
2008,11,Novembro
2008,12,Dezembro
2008,6,Junho
2008,5,Maio
2008,6,Junho
2008,11,Novembro
2008,8,Agosto
2008,10,Outubro
2008,8,Agosto
2008,4,Abril
2008,6,Junho
2008,2,Fevereiro
2008,4,Abril
2008,6,Junho
2008,7,Julho
2008,8,Agosto
2008,10,Outubro
2008,11,Novembro
2008,12,Dezembro
2008,3,Março
2008,11,Novembro
2008,9,Setembro
2008,2,Fevereiro
2008,5,Maio
2008,6,Junho
2008,11,Novembro
2008,12,Dezembro
2008,7,Julho
2008,12,Dezembro
2008,7,Julho
2008,9,Setembro
2008,4,Abril
2008,7,Julho
2008,3,Março
2008,5,Maio
2008,12,Dezembro
2008,1,Janeiro
2008,10,Outubro
2008,11,Novembro
2008,4,Abril
2008,10,Outubro
2008,1,Janeiro
2008,3,Março
2008,7,Julho
2008,8,Agosto
2008,11,Novembro
2008,12,Dezembro
2008,7,Julho
2008,3,Março
2008,12,Dezembro
2008,4,Abril
2008,7,Julho
2008,8,Agosto
2008,12,Dezembro
2008,1,Janeiro
2008,3,Março
2008,4,Abril
2008,9,Setembro
2008,10,Outubro
2008,1,Janeiro
2008,3,Março
2008,9,Setembro
2008,10,Outubro
2008,7,Julho
2008,3,Março
2008,6,Junho
2008,9,Setembro
2008,12,Dezembro
2008,7,Julho
2008,8,Agosto
2008,1,Janeiro
2008,8,Agosto
2008,9,Setembro
2008,2,Fevereiro
2008,5,Maio
2008,2,Fevereiro
2008,4,Abril
2008,6,Junho
2008,10,Outubro
2008,11,Novembro
2008,7,Julho
2008,8,Agosto
2008,10,Outubro
2008,12,Dezembro
2008,6,Junho
2008,8,Agosto
2008,12,Dezembro
2008,4,Abril
2008,5,Maio
2008,7,Julho
2008,11,Novembro
2008,12,Dezembro
2008,11,Novembro
2008,4,Abril
2008,7,Julho
2008,11,Novembro
